"time","european_aqi","pm10","pm2_5","carbon_monoxide","nitrogen_dioxide","sulphur_dioxide","ozone","ammonia","uv_index_clear_sky","uv_index","dust","aerosol_optical_depth","alder_pollen","birch_pollen","grass_pollen","mugwort_pollen","olive_pollen","ragweed_pollen"
"2025-07-01 00:00:00+00:00",20.399999618530273,17.399999618530273,9.399999618530273,235.0,23.5,1.100000023841858,51.0,3.5999999046325684,0.0,0.0,1.0,0.18000000715255737,0.0,0.0,34.0,17.399999618530273,0.0,0.0
"2025-07-01 01:00:00+00:00",17.7166690826416,17.899999618530273,10.100000381469727,241.0,27.5,1.600000023841858,41.0,4.800000190734863,0.0,0.0,1.0,0.17000000178813934,0.0,0.0,46.20000076293945,24.399999618530273,0.0,0.0
"2025-07-01 02:00:00+00:00",17.97500228881836,18.299999237060547,10.5,252.0,29.399999618530273,1.899999976158142,35.0,5.400000095367432,0.0,0.0,1.0,0.1599999964237213,0.0,0.0,45.599998474121094,23.799999237060547,0.0,0.0
"2025-07-01 03:00:00+00:00",18.25833511352539,18.5,10.5,264.0,25.200000762939453,1.899999976158142,27.0,5.800000190734863,0.0,0.0,1.0,0.15000000596046448,0.0,0.0,44.599998474121094,21.5,0.0,0.0
"2025-07-01 04:00:00+00:00",18.541667938232422,18.799999237060547,11.899999618530273,282.0,36.29999923706055,2.299999952316284,21.0,6.300000190734863,0.0,0.0,1.0,0.15000000596046448,0.0,0.0,35.099998474121094,18.799999237060547,0.0,0.0
"2025-07-01 05:00:00+00:00",18.899999618530273,21.0,12.600000381469727,308.0,37.79999923706055,2.700000047683716,33.0,4.599999904632568,0.20000000298023224,0.20000000298023224,1.0,0.1599999964237213,0.0,0.0,29.0,17.5,0.0,0.0
"2025-07-01 06:00:00+00:00",22.040000915527344,19.700000762939453,14.0,449.0,45.099998474121094,3.0999999046325684,36.0,4.400000095367432,0.75,0.75,1.0,0.1599999964237213,0.0,0.0,23.299999237060547,17.899999618530273,0.0,0.0
"2025-07-01 07:00:00+00:00",22.399999618530273,19.899999618530273,16.299999237060547,387.0,45.29999923706055,2.799999952316284,56.0,4.699999809265137,1.7999999523162842,1.7999999523162842,1.0,0.15000000596046448,0.0,0.0,26.100000381469727,12.100000381469727,0.0,0.0
"2025-07-01 08:00:00+00:00",32.79999923706055,16.5,13.199999809265137,335.0,37.5,2.4000000953674316,82.0,4.300000190734863,3.4000000953674316,3.4000000953674316,1.0,0.14000000059604645,0.0,0.0,29.0,10.100000381469727,0.0,0.0
"2025-07-01 09:00:00+00:00",50.666664123535156,14.300000190734863,7.900000095367432,253.0,14.399999618530273,1.2999999523162842,116.0,3.9000000953674316,5.300000190734863,5.300000190734863,2.0,0.14000000059604645,0.0,0.0,26.5,6.900000095367432,0.0,0.0
"2025-07-01 10:00:00+00:00",58.0,12.899999618530273,7.400000095367432,191.0,7.300000190734863,0.800000011920929,127.0,3.0999999046325684,7.0,7.0,3.0,0.15000000596046448,0.0,0.0,26.799999237060547,5.599999904632568,0.0,0.0
"2025-07-01 11:00:00+00:00",56.666664123535156,13.699999809265137,7.599999904632568,166.0,5.699999809265137,0.6000000238418579,125.0,2.799999952316284,8.100000381469727,8.050000190734863,4.0,0.1599999964237213,0.0,0.0,23.299999237060547,5.300000190734863,0.0,0.0
"2025-07-01 12:00:00+00:00",52.666664123535156,14.399999618530273,7.0,156.0,5.400000095367432,0.5,119.0,2.700000047683716,8.5,8.5,5.0,0.10999999940395355,0.0,0.0,20.899999618530273,5.300000190734863,0.0,0.0
"2025-07-01 13:00:00+00:00",51.33333206176758,15.899999618530273,7.800000190734863,152.0,5.5,0.4000000059604645,117.0,2.4000000953674316,7.699999809265137,7.599999904632568,6.0,0.14000000059604645,0.0,0.0,21.100000381469727,5.300000190734863,0.0,0.0
"2025-07-01 14:00:00+00:00",46.666664123535156,19.600000381469727,8.100000381469727,151.0,5.599999904632568,0.4000000059604645,110.0,2.299999952316284,6.150000095367432,6.050000190734863,11.0,0.1599999964237213,0.0,0.0,21.200000762939453,5.199999809265137,0.0,0.0
"2025-07-01 15:00:00+00:00",41.33333206176758,23.600000381469727,8.899999618530273,150.0,6.5,0.5,102.0,2.299999952316284,4.300000190734863,3.950000047683716,13.0,0.17000000178813934,0.0,0.0,20.799999237060547,5.300000190734863,0.10000000149011612,0.0
"2025-07-01 16:00:00+00:00",40.666664123535156,26.299999237060547,10.199999809265137,150.0,8.5,0.5,101.0,2.200000047683716,2.549999952316284,2.0999999046325684,16.0,0.1899999976158142,0.0,0.0,21.200000762939453,5.199999809265137,0.10000000149011612,0.0
"2025-07-01 17:00:00+00:00",38.0,25.899999618530273,10.399999618530273,153.0,10.5,0.5,95.0,2.200000047683716,1.25,1.2000000476837158,18.0,0.18000000715255737,0.0,0.0,21.799999237060547,5.199999809265137,0.10000000149011612,0.0
"2025-07-01 18:00:00+00:00",36.79999923706055,27.100000381469727,10.199999809265137,142.0,9.300000190734863,0.5,92.0,2.0999999046325684,0.44999998807907104,0.44999998807907104,19.0,0.18000000715255737,0.0,0.0,23.600000381469727,5.300000190734863,0.10000000149011612,0.0
"2025-07-01 19:00:00+00:00",35.20000076293945,29.399999618530273,10.100000381469727,136.0,9.399999618530273,0.800000011920929,88.0,2.200000047683716,0.10000000149011612,0.10000000149011612,20.0,0.18000000715255737,0.0,0.0,27.200000762939453,7.300000190734863,0.0,0.0
"2025-07-01 20:00:00+00:00",33.60000228881836,30.600000381469727,11.199999809265137,163.0,13.399999618530273,1.100000023841858,84.0,2.200000047683716,0.0,0.0,21.0,0.17000000178813934,0.0,0.0,26.5,15.399999618530273,0.0,0.0
"2025-07-01 21:00:00+00:00",26.80000114440918,33.20000076293945,11.800000190734863,187.0,16.299999237060547,1.2000000476837158,67.0,2.700000047683716,0.0,0.0,20.0,0.17000000178813934,0.0,0.0,34.79999923706055,24.700000762939453,0.0,0.0
"2025-07-01 22:00:00+00:00",22.0,24.899999618530273,12.0,187.0,15.5,1.0,55.0,3.200000047683716,0.0,0.0,12.0,0.17000000178813934,0.0,0.0,36.900001525878906,28.600000381469727,0.0,0.0
"2025-07-01 23:00:00+00:00",25.599998474121094,21.100000381469727,9.399999618530273,173.0,15.199999809265137,0.800000011920929,64.0,3.799999952316284,0.0,0.0,9.0,0.17000000178813934,0.0,0.0,37.099998474121094,25.200000762939453,0.0,0.0
"2025-07-02 00:00:00+00:00",27.200000762939453,20.200000762939453,9.300000190734863,153.0,8.699999809265137,0.699999988079071,68.0,3.5999999046325684,0.0,0.0,5.0,0.18000000715255737,0.0,0.0,33.79999923706055,21.399999618530273,0.0,0.0
"2025-07-02 01:00:00+00:00",25.599998474121094,19.299999237060547,9.300000190734863,160.0,9.199999809265137,0.699999988079071,64.0,3.299999952316284,0.0,0.0,4.0,0.18000000715255737,0.0,0.0,32.400001525878906,20.299999237060547,0.0,0.0
"2025-07-02 02:00:00+00:00",24.0,18.799999237060547,9.300000190734863,151.0,9.600000381469727,0.699999988079071,60.0,3.299999952316284,0.0,0.0,4.0,0.18000000715255737,0.0,0.0,29.5,15.800000190734863,0.0,0.0
"2025-07-02 03:00:00+00:00",22.799999237060547,16.200000762939453,9.0,151.0,9.5,0.699999988079071,57.0,3.700000047683716,0.0,0.0,4.0,0.17000000178813934,0.0,0.0,24.899999618530273,14.300000190734863,0.0,0.0
"2025-07-02 04:00:00+00:00",22.399999618530273,15.899999618530273,8.399999618530273,152.0,10.199999809265137,0.800000011920929,56.0,3.799999952316284,0.0,0.0,3.0,0.17000000178813934,0.0,0.0,23.100000381469727,13.699999809265137,0.0,0.0
"2025-07-02 05:00:00+00:00",22.0,16.0,8.399999618530273,166.0,16.5,0.8999999761581421,55.0,3.799999952316284,0.20000000298023224,0.20000000298023224,3.0,0.17000000178813934,0.0,0.0,21.899999618530273,13.0,0.0,0.0
"2025-07-02 06:00:00+00:00",20.64166831970215,16.399999618530273,9.199999809265137,226.0,26.600000381469727,1.2000000476837158,48.0,3.9000000953674316,0.75,0.75,4.0,0.1599999964237213,0.0,0.0,22.0,12.699999809265137,0.0,0.0
"2025-07-02 07:00:00+00:00",20.504167556762695,16.799999237060547,10.199999809265137,241.0,26.299999237060547,1.399999976158142,49.0,3.799999952316284,1.75,1.75,3.0,0.1599999964237213,0.0,0.0,24.100000381469727,13.600000381469727,0.0,0.0
"2025-07-02 08:00:00+00:00",23.19999885559082,15.800000190734863,10.100000381469727,232.0,21.600000381469727,1.5,58.0,3.700000047683716,3.299999952316284,3.299999952316284,4.0,0.1599999964237213,0.0,0.0,28.600000381469727,12.600000381469727,0.0,0.0
"2025-07-02 09:00:00+00:00",31.19999885559082,16.100000381469727,9.899999618530273,225.0,17.600000381469727,1.7000000476837158,78.0,3.5999999046325684,5.099999904632568,5.099999904632568,5.0,0.17000000178813934,0.0,0.0,30.100000381469727,10.399999618530273,0.0,0.0
"2025-07-02 10:00:00+00:00",39.20000076293945,18.5,10.699999809265137,223.0,13.899999618530273,1.600000023841858,98.0,3.9000000953674316,6.800000190734863,6.800000190734863,7.0,0.18000000715255737,0.0,0.0,28.5,9.399999618530273,0.0,0.0
"2025-07-02 11:00:00+00:00",60.727272033691406,20.299999237060547,11.800000190734863,214.0,10.399999618530273,1.2999999523162842,134.0,3.4000000953674316,7.900000095367432,7.75,8.0,0.18000000715255737,0.0,0.0,30.0,9.0,0.0,0.0
"2025-07-02 12:00:00+00:00",60.727272033691406,18.600000381469727,11.300000190734863,195.0,6.800000190734863,1.0,134.0,3.0999999046325684,8.149999618530273,6.599999904632568,7.0,0.23000000417232513,0.0,0.0,34.70000076293945,5.800000190734863,0.0,0.0
"2025-07-02 13:00:00+00:00",54.0,16.299999237060547,9.399999618530273,182.0,5.400000095367432,0.699999988079071,121.0,2.5999999046325684,7.5,5.400000095367432,6.0,0.23999999463558197,0.0,0.0,33.70000076293945,6.199999809265137,0.0,0.0
"2025-07-02 14:00:00+00:00",48.66666793823242,13.199999809265137,8.5,156.0,5.199999809265137,0.5,113.0,2.5,6.050000190734863,5.449999809265137,5.0,0.2199999988079071,0.0,0.0,32.400001525878906,5.099999904632568,0.0,0.0
"2025-07-02 15:00:00+00:00",39.20000076293945,10.199999809265137,6.5,147.0,6.199999809265137,0.5,98.0,1.899999976158142,4.150000095367432,2.450000047683716,4.0,0.25999999046325684,0.0,0.0,14.399999618530273,5.300000190734863,0.0,0.0
"2025-07-02 16:00:00+00:00",33.20000076293945,8.199999809265137,6.599999904632568,150.0,7.800000190734863,0.5,83.0,1.600000023841858,2.450000047683716,1.600000023841858,3.0,0.27000001072883606,0.0,0.0,17.899999618530273,5.5,0.0,0.0
"2025-07-02 17:00:00+00:00",30.799999237060547,6.5,5.300000190734863,151.0,7.900000095367432,0.5,77.0,1.2000000476837158,1.149999976158142,1.149999976158142,2.0,0.25,0.0,0.0,13.199999809265137,5.900000095367432,0.0,0.0
"2025-07-02 18:00:00+00:00",30.799999237060547,5.599999904632568,4.599999904632568,145.0,6.800000190734863,0.5,77.0,1.100000023841858,0.4000000059604645,0.4000000059604645,2.0,0.3100000023841858,0.0,0.0,13.800000190734863,6.300000190734863,0.0,0.0
"2025-07-02 19:00:00+00:00",31.19999885559082,5.199999809265137,4.099999904632568,143.0,6.599999904632568,0.5,78.0,1.100000023841858,0.10000000149011612,0.10000000149011612,1.0,0.36000001430511475,0.0,0.0,16.200000762939453,5.400000095367432,0.0,0.0
"2025-07-02 20:00:00+00:00",32.400001525878906,5.400000095367432,4.199999809265137,146.0,6.5,0.5,81.0,0.8999999761581421,0.0,0.0,2.0,0.3799999952316284,0.0,0.0,15.5,7.300000190734863,0.0,0.0
"2025-07-02 21:00:00+00:00",31.599998474121094,5.699999809265137,4.300000190734863,148.0,7.5,0.5,79.0,1.0,0.0,0.0,1.0,0.3700000047683716,0.0,0.0,13.300000190734863,7.699999809265137,0.0,0.0
"2025-07-02 22:00:00+00:00",31.599998474121094,6.400000095367432,4.199999809265137,148.0,7.199999809265137,0.5,79.0,1.2999999523162842,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,20.299999237060547,8.100000381469727,0.0,0.0
"2025-07-02 23:00:00+00:00",31.599998474121094,9.0,5.099999904632568,147.0,6.699999809265137,0.6000000238418579,79.0,1.5,0.0,0.0,0.0,0.3100000023841858,0.0,0.0,26.600000381469727,8.100000381469727,0.0,0.0
